Iteration,Vdd,Cload,Slew,Temp,Wp,Reason
1438,0.7999999999999999,3.6636363636363636e-14,1e-10,75,3.6e-07,Power value not found in log
1439,0.7999999999999999,3.6636363636363636e-14,1e-10,100,1.8e-07,Power value not found in log
1445,0.7999999999999999,3.6636363636363636e-14,2e-10,-25,1.8e-07,Power value not found in log
1447,0.7999999999999999,3.6636363636363636e-14,2e-10,0,1.8e-07,Power value not found in log
1449,0.7999999999999999,3.6636363636363636e-14,2e-10,25,1.8e-07,Power value not found in log
1452,0.7999999999999999,3.6636363636363636e-14,2e-10,75,3.6e-07,Power value not found in log
1454,0.7999999999999999,3.6636363636363636e-14,2e-10,100,3.6e-07,Power value not found in log
1456,0.7999999999999999,3.6636363636363636e-14,2e-10,125,3.6e-07,Power value not found in log
1457,0.7999999999999999,3.6636363636363636e-14,4e-10,-40,1.8e-07,Power value not found in log
1458,0.7999999999999999,3.6636363636363636e-14,4e-10,-40,3.6e-07,Power value not found in log
1459,0.7999999999999999,3.6636363636363636e-14,4e-10,-25,1.8e-07,Power value not found in log
1460,0.7999999999999999,3.6636363636363636e-14,4e-10,-25,3.6e-07,Power value not found in log
1461,0.7999999999999999,3.6636363636363636e-14,4e-10,0,1.8e-07,Power value not found in log
1462,0.7999999999999999,3.6636363636363636e-14,4e-10,0,3.6e-07,Power value not found in log
1463,0.7999999999999999,3.6636363636363636e-14,4e-10,25,1.8e-07,Power value not found in log
1465,0.7999999999999999,3.6636363636363636e-14,4e-10,75,1.8e-07,Power value not found in log
1468,0.7999999999999999,3.6636363636363636e-14,4e-10,100,3.6e-07,Power value not found in log
1469,0.7999999999999999,3.6636363636363636e-14,4e-10,125,1.8e-07,Power value not found in log
1470,0.7999999999999999,3.6636363636363636e-14,4e-10,125,3.6e-07,Power value not found in log
1471,0.7999999999999999,4.109090909090909e-14,1e-11,-40,1.8e-07,Power value not found in log
1472,0.7999999999999999,4.109090909090909e-14,1e-11,-40,3.6e-07,Power value not found in log
1473,0.7999999999999999,4.109090909090909e-14,1e-11,-25,1.8e-07,Power value not found in log
1475,0.7999999999999999,4.109090909090909e-14,1e-11,0,1.8e-07,Power value not found in log
1476,0.7999999999999999,4.109090909090909e-14,1e-11,0,3.6e-07,Power value not found in log
1478,0.7999999999999999,4.109090909090909e-14,1e-11,25,3.6e-07,Power value not found in log
1479,0.7999999999999999,4.109090909090909e-14,1e-11,75,1.8e-07,Power value not found in log
1480,0.7999999999999999,4.109090909090909e-14,1e-11,75,3.6e-07,Power value not found in log
1482,0.7999999999999999,4.109090909090909e-14,1e-11,100,3.6e-07,Power value not found in log
1483,0.7999999999999999,4.109090909090909e-14,1e-11,125,1.8e-07,Power value not found in log
1484,0.7999999999999999,4.109090909090909e-14,1e-11,125,3.6e-07,Power value not found in log
1486,0.7999999999999999,4.109090909090909e-14,5e-11,-40,3.6e-07,Power value not found in log
1488,0.7999999999999999,4.109090909090909e-14,5e-11,-25,3.6e-07,Power value not found in log
1489,0.7999999999999999,4.109090909090909e-14,5e-11,0,1.8e-07,Power value not found in log
1491,0.7999999999999999,4.109090909090909e-14,5e-11,25,1.8e-07,Power value not found in log
1492,0.7999999999999999,4.109090909090909e-14,5e-11,25,3.6e-07,Power value not found in log
1494,0.7999999999999999,4.109090909090909e-14,5e-11,75,3.6e-07,Power value not found in log
1495,0.7999999999999999,4.109090909090909e-14,5e-11,100,1.8e-07,Power value not found in log
1497,0.7999999999999999,4.109090909090909e-14,5e-11,125,1.8e-07,Power value not found in log
1499,0.7999999999999999,4.109090909090909e-14,1e-10,-40,1.8e-07,Power value not found in log
1500,0.7999999999999999,4.109090909090909e-14,1e-10,-40,3.6e-07,Power value not found in log
1503,0.7999999999999999,4.109090909090909e-14,1e-10,0,1.8e-07,Power value not found in log
1504,0.7999999999999999,4.109090909090909e-14,1e-10,0,3.6e-07,Power value not found in log
1506,0.7999999999999999,4.109090909090909e-14,1e-10,25,3.6e-07,Power value not found in log
1507,0.7999999999999999,4.109090909090909e-14,1e-10,75,1.8e-07,Power value not found in log
1509,0.7999999999999999,4.109090909090909e-14,1e-10,100,1.8e-07,Power value not found in log
1510,0.7999999999999999,4.109090909090909e-14,1e-10,100,3.6e-07,Power value not found in log
1512,0.7999999999999999,4.109090909090909e-14,1e-10,125,3.6e-07,Power value not found in log
1513,0.7999999999999999,4.109090909090909e-14,2e-10,-40,1.8e-07,Power value not found in log
1514,0.7999999999999999,4.109090909090909e-14,2e-10,-40,3.6e-07,Power value not found in log
1515,0.7999999999999999,4.109090909090909e-14,2e-10,-25,1.8e-07,Power value not found in log
1517,0.7999999999999999,4.109090909090909e-14,2e-10,0,1.8e-07,Power value not found in log
1519,0.7999999999999999,4.109090909090909e-14,2e-10,25,1.8e-07,Power value not found in log
1520,0.7999999999999999,4.109090909090909e-14,2e-10,25,3.6e-07,Power value not found in log
1522,0.7999999999999999,4.109090909090909e-14,2e-10,75,3.6e-07,Power value not found in log
1524,0.7999999999999999,4.109090909090909e-14,2e-10,100,3.6e-07,Power value not found in log
1525,0.7999999999999999,4.109090909090909e-14,2e-10,125,1.8e-07,Power value not found in log
1526,0.7999999999999999,4.109090909090909e-14,2e-10,125,3.6e-07,Power value not found in log
1527,0.7999999999999999,4.109090909090909e-14,4e-10,-40,1.8e-07,Power value not found in log
1528,0.7999999999999999,4.109090909090909e-14,4e-10,-40,3.6e-07,Power value not found in log
1529,0.7999999999999999,4.109090909090909e-14,4e-10,-25,1.8e-07,Power value not found in log
1533,0.7999999999999999,4.109090909090909e-14,4e-10,25,1.8e-07,Power value not found in log
1534,0.7999999999999999,4.109090909090909e-14,4e-10,25,3.6e-07,Power value not found in log
1535,0.7999999999999999,4.109090909090909e-14,4e-10,75,1.8e-07,Power value not found in log
1536,0.7999999999999999,4.109090909090909e-14,4e-10,75,3.6e-07,Power value not found in log
1538,0.7999999999999999,4.109090909090909e-14,4e-10,100,3.6e-07,Power value not found in log
1539,0.7999999999999999,4.109090909090909e-14,4e-10,125,1.8e-07,Power value not found in log
1540,0.7999999999999999,4.109090909090909e-14,4e-10,125,3.6e-07,Power value not found in log
1545,0.7999999999999999,4.5545454545454544e-14,1e-11,0,1.8e-07,Power value not found in log
1548,0.7999999999999999,4.5545454545454544e-14,1e-11,25,3.6e-07,Power value not found in log
1549,0.7999999999999999,4.5545454545454544e-14,1e-11,75,1.8e-07,Power value not found in log
1551,0.7999999999999999,4.5545454545454544e-14,1e-11,100,1.8e-07,Power value not found in log
1552,0.7999999999999999,4.5545454545454544e-14,1e-11,100,3.6e-07,Power value not found in log
1553,0.7999999999999999,4.5545454545454544e-14,1e-11,125,1.8e-07,Power value not found in log
1554,0.7999999999999999,4.5545454545454544e-14,1e-11,125,3.6e-07,Power value not found in log
1555,0.7999999999999999,4.5545454545454544e-14,5e-11,-40,1.8e-07,Power value not found in log
1557,0.7999999999999999,4.5545454545454544e-14,5e-11,-25,1.8e-07,Power value not found in log
1558,0.7999999999999999,4.5545454545454544e-14,5e-11,-25,3.6e-07,Power value not found in log
1559,0.7999999999999999,4.5545454545454544e-14,5e-11,0,1.8e-07,Power value not found in log
1560,0.7999999999999999,4.5545454545454544e-14,5e-11,0,3.6e-07,Power value not found in log
1565,0.7999999999999999,4.5545454545454544e-14,5e-11,100,1.8e-07,Power value not found in log
1566,0.7999999999999999,4.5545454545454544e-14,5e-11,100,3.6e-07,Power value not found in log
1567,0.7999999999999999,4.5545454545454544e-14,5e-11,125,1.8e-07,Power value not found in log
1569,0.7999999999999999,4.5545454545454544e-14,1e-10,-40,1.8e-07,Power value not found in log
1571,0.7999999999999999,4.5545454545454544e-14,1e-10,-25,1.8e-07,Power value not found in log
1575,0.7999999999999999,4.5545454545454544e-14,1e-10,25,1.8e-07,Power value not found in log
1577,0.7999999999999999,4.5545454545454544e-14,1e-10,75,1.8e-07,Power value not found in log
1578,0.7999999999999999,4.5545454545454544e-14,1e-10,75,3.6e-07,Power value not found in log
1579,0.7999999999999999,4.5545454545454544e-14,1e-10,100,1.8e-07,Power value not found in log
1581,0.7999999999999999,4.5545454545454544e-14,1e-10,125,1.8e-07,Power value not found in log
1582,0.7999999999999999,4.5545454545454544e-14,1e-10,125,3.6e-07,Power value not found in log
1584,0.7999999999999999,4.5545454545454544e-14,2e-10,-40,3.6e-07,Power value not found in log
1585,0.7999999999999999,4.5545454545454544e-14,2e-10,-25,1.8e-07,Power value not found in log
1588,0.7999999999999999,4.5545454545454544e-14,2e-10,0,3.6e-07,Power value not found in log
1590,0.7999999999999999,4.5545454545454544e-14,2e-10,25,3.6e-07,Power value not found in log
1592,0.7999999999999999,4.5545454545454544e-14,2e-10,75,3.6e-07,Power value not found in log
1593,0.7999999999999999,4.5545454545454544e-14,2e-10,100,1.8e-07,Power value not found in log
